schema_version	parent_framework_cluster	row_count	sequence_prediction_mean	sequence_prediction_median	structure_prediction_mean	structure_prediction_median	within_parent_prediction_pearson	sequence_top20_count	sequence_top50_count	sequence_top100_count	structure_top20_count	structure_top50_count	structure_top100_count	claim_boundary
phase2_v4_h_research1320_sequence_structure_comparison_v1	C0078	120	0.551604767228	0.551309847311	0.543017970592	0.543319167502	0.406461674005	0	0	0	0	0	0	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	C0086	120	0.575012904122	0.57470574776	0.572794160232	0.572630526184	-0.122702925868	0	0	0	0	0	0	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	C0145	120	0.5376879534	0.535777632321	0.529666216095	0.530452777617	0.651643734731	0	0	0	0	0	0	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	C0148	120	0.558214940907	0.559698664853	0.56018255209	0.562708690796	0.426610162148	0	0	0	0	0	0	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	C0162	120	0.55183050618	0.555071699581	0.541428159603	0.545228164503	0.830997800981	0	0	0	0	0	0	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	C0176	120	0.546300736186	0.547067481551	0.57361772257	0.573245191171	-0.0568038074152	0	0	0	0	0	0	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	C0283	120	0.600094380002	0.601498377733	0.600436916007	0.600334163328	0.370371144234	20	50	90	20	50	100	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	C0348	120	0.554465902044	0.554841682416	0.567378959254	0.56789632128	0.239436931285	0	0	0	0	0	0	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	C0360	120	0.584072881493	0.584349791538	0.566009871787	0.56679234786	0.424202300025	0	0	10	0	0	0	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	C0409	120	0.524878393708	0.526704229071	0.523217988168	0.52303763183	0.795847020082	0	0	0	0	0	0	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
phase2_v4_h_research1320_sequence_structure_comparison_v1	C0417	120	0.517943332977	0.516755554669	0.511476781972	0.512224689953	0.76699555021	0	0	0	0	0	0	Label-free comparison of frozen OPEN_TRAIN sequence and monomer-structure surrogates for computational docking geometry R_dual_min; no V4-H docking result, pose, geometry label, binding, affinity, or experimental blocking truth.
