metric,source,kind,n,missing,min,q1,median,q3,max,mean,counts,positive_observation,proposed_use,robustness,recommendation
final_verdict,screen_summary.tsv,categorical,11,0,,,,,,,REJECT_NOT_VHH_LIKE=6; REVIEW=4; DEPRIORITIZE_DEVELOPABILITY=1,阳性校准序列也会被 QC 分成 REVIEW / NOT_VHH_LIKE / DEVELOPABILITY 风险。,不要当阻断生物学 hard gate；只作提交/开发性分层。,中等,已知 blocker 中 6/11 被判 not VHH-like，说明该门控不能等价为不阻断。
L1_numbering_integrity,screen_summary.tsv,categorical,11,0,,,,,,,PASS=11,11/11 PASS。,hard gate,高,新候选必须能稳定编号并取出完整 FR/CDR。
L2_vhh_features,screen_summary.tsv,categorical,11,0,,,,,,,FAIL=6; PASS=4; WARN=1,PASS/WARN/FAIL 都出现在阳性 blocker 中。,warn/review 或提交风险 gate,低到中,不能作为 blocker 否决；可作为表达/单域性风险。
single_domain_suitability,screen_summary.tsv,categorical,11,0,,,,,,,poor=6; good=5,good/poor 都出现在阳性 blocker 中。,warn/review,低到中,poor 不能自动解释为无阻断；只能提示单域性/表达风险。
L3_developability,screen_summary.tsv,categorical,11,0,,,,,,,SKIPPED=6; WARN=4; FAIL=1,L2 fail 后会跳过，非全量。,warn/ranking；严重责任位点人工复核,中等,不要把单个 developability flag 解释成无阻断。
L4_structure_stability,screen_summary.tsv,categorical,11,0,,,,,,,SKIPPED=7; NOT_RUN=4,本次 vhh-competition-qc 未请求结构工具。,未覆盖；需单独结构流程,未评估,结构稳定性不能从本次 QC 输出判断。
official_validator_pass,portfolio_ranked.tsv,categorical,11,0,,,,,,,FAIL=11,11/11 FAIL，原因是阳性 CDR 相似性。,hard gate,高,这是泄漏排除成功，不是阳性质量差。
pass_similarity_filter,cdr_novelty.tsv,categorical,11,0,,,,,,,FAIL=11,11/11 FAIL。,hard gate,高,新候选任一 CDR 对阳性 identity >=0.80 应拦截；0.75-0.80 标边界。
max_CDR_identity_to_positive,cdr_novelty.tsv,numeric,11,0,1,1,1,1,1,1,,阳性校准集全部触达 exact/near-positive 泄漏信号。,hard gate,高,不要放宽 >=0.80；这是防抄袭/泄漏门控。
length,screen_summary.tsv,numeric,11,0,120,120.5,121,125,127,122.5455,,长度阳性范围较窄，但不应把 120-127 当唯一可行长度。,hard broad range + preferred envelope,高,保留 95-160 硬范围；105/110-145 或阳性范围附近作 ranking/warn。
imgt_cdr1_len,screen_summary.tsv,numeric,11,0,8,8,8,9,10,8.5455,,CDR1 长度有稳定窄范围。,warn/ranking,中等,明显偏离 8-10 时复核编号和结构；不要单独 hard fail。
imgt_cdr2_len,screen_summary.tsv,numeric,11,0,7,7,7,7,8,7.0909,,CDR2 长度有稳定窄范围。,warn/ranking,中等,明显偏离 7-8 时复核编号和结构。
imgt_cdr3_len,screen_summary.tsv,numeric,11,0,14,14,15,17.5,19,15.7273,,CDR3 覆盖短/中/偏长阳性。,warn/ranking,中等,14-19 是本 PVRIG 阳性 envelope；极端 CDR3 需结构确认。
fr2_hallmark_score,screen_summary.tsv,numeric,11,0,0.25,0.5,0.75,0.875,1,0.7045,,阳性中最低只有 0.25。,warn/review,低,不能作为 blocker hard gate；用于单域性/表达风险。
fr2_interface_hydrophobic_count,screen_summary.tsv,numeric,11,0,0,0,1,1,2,0.6364,,阳性中可为 0 或 1。,warn/review,中等,FR2 接触面过疏水提示聚集风险，不是阻断否决。
abnativ_vhh_score,screen_summary.tsv,numeric,9,2,0.7523,0.7675,0.799,0.8014,0.8585,0.7957,,9/11 有值且均在较高区间，2 条缺失。,warn/ranking,中等,有值时 <0.55 fail、0.55-0.70 warn 合理；缺值不应直接 hard fail。
abnativ_fr_vhh_score,screen_summary.tsv,numeric,9,2,0.8697,0.8721,0.8966,0.9205,0.9759,0.9041,,9/11 有值，FR 框架分数整体高。,warn/ranking,中等,用于 VHH-like/框架自然性排序。
sapiens_mean_self_probability,screen_summary.tsv,numeric,11,0,0.6683,0.7007,0.7267,0.7442,0.78,0.7234,,阳性自概率偏低到中等，反映人源化负担。,ranking,中等,用于人源化/免疫原性负担，不判断阻断。
sapiens_num_suggested_mutations,screen_summary.tsv,numeric,11,0,11,14,15,17,25,16,,阳性也需要较多建议突变。,ranking,中等,建议突变数高时降优先级，但不否决 blocker。
