evidence_id,category,molecule_or_source,finding,mechanistic_interpretation,modeling_or_docking_use,caveat,source_url
case04_001,identity,GSK4381562/SRF813/remzistotug,Human IgG1 kappa anti-PVRIG/CD112R monoclonal antibody,This is an IgG1-format PVRIG blocker rather than a VHH; it complements COM701 IgG4 and VHH cases,Use as IgG/Fab-level positive control and format-comparison case,Not an official SICBC positive sequence,https://drugs.ncats.io/substance/4U47PC3GYR
case04_002,sequence,NCATS/GInAS 4U47PC3GYR,Complete heavy and light chain sequences available; sequence origin human; protein subtype IgG1 kappa,Sequence-level public reference allows structure prediction of Fab/Fv,Use VH/VL FASTA for Fv/Fab structure prediction and positive-control docking,Need ANARCI/IMGT re-numbering before CDR identity comparison,https://ginas.ncats.nih.gov/ginas/app/api/v1/substances/4U47PC3GYR
case04_003,epitope,Surface/GSK public release,SRF813 reportedly binds a distinct epitope on PVRIG,Shows that blocker design should allow epitope diversity beyond COM701/Tab5/HR-151,Use as anti-overfitting control: good poses need not mimic HR-151/Tab5,Public summary does not give residue-level epitope map,https://www.biospace.com/surface-oncology-announces-fda-clearance-of-ind-application-for-gsk4381562-a-novel-antibody-targeting-pvrigsurface-to-receive-30-million-milestone-payment-upon-first-patient-treated-in-the-phase-1-study
case04_004,blocking,Surface/GSK public release,SRF813 reportedly blocks interaction with CD112/PVRL2,Mechanism remains PVRIG-PVRL2 checkpoint blockade,Use PVRL2-occlusion requirement during docking,No public complex structure or IC50 in easily accessible summary,https://www.biospace.com/surface-oncology-announces-fda-clearance-of-ind-application-for-gsk4381562-a-novel-antibody-targeting-pvrigsurface-to-receive-30-million-milestone-payment-upon-first-patient-treated-in-the-phase-1-study
case04_005,function,AACR 2020 abstract,SRF813 enhances immune cell activation and shows preclinical in vivo antitumor activity,Functional readout extends beyond binding/blocking,Use as calibration for blocking-to-cell-function reasoning,Abstract-level evidence; exact assay data should be manually captured if needed,https://aacrjournals.org/cancerres/article/80/16_Supplement/4548/643519/Abstract-4548-SRF813-a-fully-human-monoclonal
case04_006,function,Surface/GSK public release,Preclinical immune activation includes both NK and T cell activation,Distinct epitope PVRIG blockade can activate both innate and adaptive arms,Do not evaluate PVRIG only through T-cell readouts,Numerical data not fully public in press summary,https://www.biospace.com/surface-oncology-announces-fda-clearance-of-ind-application-for-gsk4381562-a-novel-antibody-targeting-pvrigsurface-to-receive-30-million-milestone-payment-upon-first-patient-treated-in-the-phase-1-study
case04_007,pathway,NCI Drug Dictionary remzistotug,Binding to PVRIG inhibits PVRIG-PVRL2 interaction and may activate T lymphocytes and NK cells,Independent mechanism statement consistent with checkpoint blockade,Use as mechanism-reference source for report text,NCI mechanism wording is descriptive rather than residue-level,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/remzistotug
case04_008,pathway,NCI Drug Dictionary remzistotug,Remzistotug may promote interaction between PVRL2 and CD226/DNAM-1,Blocking PVRIG can redirect ligand availability toward activating CD226 axis,Add CD226 axis as downstream mechanism label beyond steric blocking,This is pathway-level, not direct docking observable,https://www.cancer.gov/publications/dictionaries/cancer-drug/def/remzistotug
case04_009,clinical_status,GSK study register / NCI trial page,Trial is listed as active-not-recruiting or closed-to-accrual depending registry page,Clinical registry status is not the same as mechanism success,Do not treat clinical status as docking validation,Status pages can lag or differ by registry,https://www.gsk-studyregister.com/trials/217228
case04_010,clinical_status,Fierce Biotech 2025 report,GSK reportedly halted remaining CD226/PVRIG-axis phase 2 assets including GSK4381562,Mechanism remains useful but should not be described as proven clinical success,Label Case 04 as mechanism/design-calibration case,Commercial status may change and should be rechecked,https://www.fiercebiotech.com/biotech/gsk-abandons-hopes-cd226-cancer-therapies-dropping-remaining-phase-2-assets
