source_id,source_type,title,year,url,key_evidence,how_used,evidence_boundary
COMPETITION_APPENDIX7,official_competition_document,附件7 抗体赛道实验测试流程与评分规则,2026,local:机制/official_reference/附件7_抗体赛道实验测试流程与评分规则.pdf,"VHH统一构建为VHH-hFc；CHO瞬时表达；Protein A一步纯化；初筛BLI/Yield/纯度权重70/20/10；复筛Kd/IC50权重50/50",定义比赛硬门槛和当前审查重点,主办方可按实际情况调整实验参数与规则
ICH_Q6B,regulatory_guideline,ICH Q6B Specifications: Test Procedures and Acceptance Criteria for Biotechnological/Biological Products,1999,https://www.ema.europa.eu/en/documents/scientific-guideline/ich-q-6-b-test-procedures-and-acceptance-criteria-biotechnologicalbiological-products-step-5_en.pdf,"生物制品纯度高度依赖分析方法，应采用组合分析；应区分产品相关和工艺相关杂质，并建立稳定性指示性评价",支持SDS与HPLC不可相互替代以及计算分数不能代替分析纯度,监管原则不是本次比赛的具体放行阈值
FDA_IMMUNOGENICITY,regulatory_guidance,Immunogenicity Assessment for Therapeutic Protein Products,2014,https://www.fda.gov/media/85017/download,"推荐基于风险的免疫原性评价；产品聚集、杂质和制造因素均可能影响风险",说明聚集/杂质不仅影响纯度也影响后续安全性,比赛当前不直接测免疫原性
JAIN_2017,primary_research,Biophysical properties of the clinical-stage antibody landscape,2017,https://doi.org/10.1073/pnas.1616408114,"临床阶段抗体仍存在广泛生物物理差异；需组合评估自相互作用、疏水性、非特异性和热稳定等指标",定义可开发性不能由单一序列分数概括,主要基于传统IgG并非专门针对本项目VHH-hFc
RAYBOULD_2019,primary_research,Five computational developability guidelines for therapeutic antibody profiling,2019,https://doi.org/10.1073/pnas.1810576116,"提出CDR长度、CDR附近表面疏水patch、正/负电荷patch及Fv电荷对称等计算指南",支持从global GRAVY升级为结构表面patch审查,计算指南用于风险筛查而非实际Yield/纯度预测
CHAI_2025_VHH,primary_research,Developing drug-like single-domain antibodies (VHH) from in vitro libraries,2025,https://pmc.ncbi.nlm.nih.gov/articles/PMC12203854/,"在VHH/VHH-Fc上联合测量表达滴度、Tm、Tagg、SEC-HPLC主峰、疏水色谱和多种polyreactivity；单项性质之间并非完全相关",定义适合VHH-hFc的实验可开发性面板,不同构建与表达体系的阈值不能直接套用本赛题
SEEDBODY_2023,primary_research,A library approach for the de novo high-throughput isolation of humanized VHH domains with favorable developability properties following camelid immunization,2023,https://pmc.ncbi.nlm.nih.gov/articles/PMC10540653/,"VHH-Fc/SEEDbody经Protein A后用分析SEC作为早期过滤；>85%主峰可接受，>90%更理想；未配对Cys与聚集风险相关",与比赛80/90%纯度分层形成外部交叉支持,文中具体格式与本赛题hFc构型并不完全相同
YANG_2019,primary_research,Deamidation and isomerization liability analysis of 131 clinical-stage antibodies,2019,https://pmc.ncbi.nlm.nih.gov/articles/PMC6343770/,"CDR中的脱酰胺/异构化可能影响分子，但仅凭序列motif存在较高假阳性，局部结构和应力实验很重要",支持CDR motif作review而非hard fail,主要基于IgG临床阶段抗体
LAP_2024,primary_research,LAP: Liability Antibody Profiler by sequence and structural mapping of natural and therapeutic antibodies,2024,https://pmc.ncbi.nlm.nih.gov/articles/PMC10957075/,"纯序列化学liability标注明显过预测；结合天然/治疗性出现频率和结构暴露可将部分motif降级",支持将现有PTM计数改为结构暴露加权,模型性能不能替代实际forced-degradation/质谱
PROTEINA_AGG_2007,primary_research,Protein aggregation kinetics during Protein A chromatography: case study for an Fc fusion protein,2007,https://pubmed.ncbi.nlm.nih.gov/17920607/,"Fc融合蛋白可在Protein A低pH洗脱过程中发生聚集",说明VHH-hFc必须考虑低pH洗脱和酸敏感序列,单一案例不能推断所有候选都会聚集
SICBC_OFFICIAL,official_webpage,2026上海国际计算生物学创新大赛抗体赛道详情,2026,https://www.bioshanghaiweek.com/2026/SICBC?lan=cn&section=5,"官网要求综合考虑亲和力、特异性及可开发性等多任务目标",支持把机制、结合、可开发性和多样性分开评价,网页规则可能更新；以最新官方附件为准
