record_type	candidate_id	mechanism_rank	experimental_role	independent_complex_status	final50_expansion_decision	reason	claim_boundary	base_molecule	mutation	boltz_pair_label	boltz_iptm	chai_pair_label	chai_best_iptm
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0288__00659	1	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0188__00519	2	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0100__00092	3	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0090__00532	4	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0188__00282	5	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0100__00188	6	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0002__00919	7	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0287__00804	8	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0089__00735	9	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0299__00453	10	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0299__00780	11	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0189__00858	12	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0380__00771	13	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
FINAL50_CANDIDATE	P1MCPUFP__CPUFP500K_0404__00029	14	CANDIDATE	NOT_RUN_FINAL50	NO_EXPANSION_UNCALIBRATED_CONTROL_SEPARATION	Do not expand an unconstrained Chai/Boltz candidate panel when the matched positive/perturbation control panel has no qualifying separation.	No candidate has unconstrained independent-complex support in this audit.						
